animal_ID,larvae_length_pixel_raw,larvae_length_pixel,tray_width_pixel,larvae_length_mm,treatment_odor,starved,hatch_date,acclimate_start,experiment_start,sex,dead
190903-03-bottom,47.074,47,563,6.7,naive_100ul_left_glucose_10gL,no,190829,11:38,11:54,,yes
190903-04-top,45.222,45,582,6.2,naive_100ul_left_glucose_10gL,no,190829,13:00,13:16,f,no
190903-04-bottom,49.82,50,565,7.1,naive_100ul_left_glucose_10gL,no,190829,13:00,13:16,f,no
190903-05-top,48.795,49,579,6.7,naive_100ul_left_glucose_10gL,no,190829,13:34,13:51,f,no
190903-05-bottom,42.048,42,556,6.1,naive_100ul_left_glucose_10gL,no,190829,13:34,13:51,,pupa
190903-06-top,50.01,50,578,6.9,naive_100ul_left_glucose_10gL,no,190829,14:45,15:01,f,no
190903-06-bottom,51.245,51,561,7.3,naive_100ul_left_glucose_10gL,no,190829,14:45,15:01,f,no
190903-07-top,45.277,45,575,6.3,naive_100ul_left_glucose_10gL,no,190829,15:22,15:38,,yes
190903-07-bottom,48.466,48,570,6.8,naive_100ul_left_glucose_10gL,no,190829,15:22,15:38,m,no
190903-08-top,51.01,51,571,7.1,naive_100ul_left_glucose_10gL,no,190829,16:12,16:28,m,no
190903-08-bottom,42.048,42,570,5.9,naive_100ul_left_glucose_10gL,no,190829,16:12,16:28,m,no
190903-09-top,51.01,51,582,7,naive_100ul_left_glucose_10gL,no,190829,16:47,17:02,m,no
190903-09-bottom,50.448,50,563,7.2,naive_100ul_left_glucose_10gL,no,190829,16:47,17:02,f,no
190903-10-top,52.631,53,584,7.2,naive_100ul_left_glucose_10gL,no,190829,17:22,17:38,f,no
190903-10-bottom,38.079,38,561,5.4,naive_100ul_left_glucose_10gL,no,190829,17:22,17:38,m,no
190903-11-top,36.346,36,576,5,naive_100ul_left_glucose_10gL,1day,190829,17:56,18:12,m,no
190903-11-bottom,45.88,46,573,6.4,naive_100ul_left_glucose_10gL,1day,190829,17:56,18:12,f,no
190903-12-top,43.417,43,572,6.1,naive_100ul_left_glucose_10gL,1day,190829,18:30,18:46,f,no
190903-12-bottom,47.434,47,570,6.7,naive_100ul_left_glucose_10gL,1day,190829,18:30,18:46,f,no
190903-13-top,38.639,39,584,5.3,naive_100ul_left_glucose_10gL,1day,190829,19:03,19:19,f,no
