animal_ID,larvae_length_pixel_raw,larvae_length_pixel,tray_width_pixel,larvae_length_mm,treatment_odor,starved,hatch_date,acclimate_start,experiment_start,sex,dead,start_hour,start_min,minutes_past_L
190903-02-top,40.817,41,582,5.6,naive_100ul_left_glucose_10gL,no,190829,11:03,11:19,m,no,11,3,139
190903-02-bottom,49.336000000000006,49,567,7.0,naive_100ul_left_glucose_10gL,no,190829,11:03,11:19,f,no,11,3,139
190903-03-top,41.437,41,583,5.7,naive_100ul_left_glucose_10gL,no,190829,11:38,11:54,m,no,11,38,174
190903-04-top,45.222,45,582,6.2,naive_100ul_left_glucose_10gL,no,190829,13:00,13:16,f,no,13,0,256
190903-04-bottom,49.82,50,565,7.1,naive_100ul_left_glucose_10gL,no,190829,13:00,13:16,f,no,13,0,256
190903-05-top,48.795,49,579,6.7,naive_100ul_left_glucose_10gL,no,190829,13:34,13:51,f,no,13,34,291
190903-06-top,50.01,50,578,6.9,naive_100ul_left_glucose_10gL,no,190829,14:45,15:01,f,no,14,45,361
190903-06-bottom,51.245,51,561,7.3,naive_100ul_left_glucose_10gL,no,190829,14:45,15:01,f,no,14,45,361
190903-07-bottom,48.466,48,570,6.8,naive_100ul_left_glucose_10gL,no,190829,15:22,15:38,m,no,15,22,398
190903-08-top,51.01,51,571,7.1,naive_100ul_left_glucose_10gL,no,190829,16:12,16:28,m,no,16,12,448
190903-08-bottom,42.048,42,570,5.9,naive_100ul_left_glucose_10gL,no,190829,16:12,16:28,m,no,16,12,448
190903-09-top,51.01,51,582,7.0,naive_100ul_left_glucose_10gL,no,190829,16:47,17:02,m,no,16,47,482
